Age,Visual-Deficiency,Astigmatism,Tear-Production,Recommended-lenses
jove,miope,no,reduïda,cap
jove,miope,no,normal,toves
jove,miope,sí,reduïda,cap
jove,miope,sí,normal,dures
jove,hipermetrope,no,reduïda,cap
jove,hipermetrope,no,normal,toves
jove,hipermetrope,sí,reduïda,cap
jove,hipermetrope,sí,normal,dures
pre-prebiòpic,miope,no,reduïda,cap
pre-prebiòpic,miope,no,normal,toves
pre-prebiòpic,miope,sí,reduïda,cap
pre-prebiòpic,miope,sí,normal,dures
pre-prebiòpic,hipermetrope,no,reduïda,cap
pre-prebiòpic,hipermetrope,no,normal,toves
pre-prebiòpic,hipermetrope,sí,reduïda,cap
pre-prebiòpic,hipermetrope,sí,normal,cap
prebiòpic,miope,no,reduïda,cap
prebiòpic,miope,no,normal,cap
prebiòpic,miope,sí,reduïda,cap
prebiòpic,miope,sí,normal,dures
prebiòpic,hipermetrope,no,reduïda,cap
prebiòpic,hipermetrope,no,normal,toves
prebiòpic,hipermetrope,sí,reduïda,cap
prebiòpic,hipermetrope,sí,normal,cap
